index,date,team,home_or_away,opponent,game_result,game_finish,scorer,age,career_goal_number,primary_assist,secondary_assist,goalie,period,time,strength,other,arena
27,2019-10-16,EDM,,PHI,W,,Ryan Nugent-Hopkins,26,148,Leon Draisaitl,Connor McDavid,Carter Hart,2,14:32,PP,,Rogers Place
28,2019-10-16,EDM,,PHI,W,,Leon Draisaitl,23,131,Connor McDavid,,Brian Elliott,2,16:26,PP,,Rogers Place
29,2019-10-18,EDM,,DET,W,,James Neal,32,279,Alex Chiasson,Darnell Nurse,Jonathan Bernier,2,07:39,EV,,Rogers Place
30,2019-10-18,EDM,,DET,W,,Ethan Bear,22,3,Leon Draisaitl,Darnell Nurse,Jonathan Bernier,2,12:22,EV,,Rogers Place
31,2019-10-24,EDM,,WSH,W,OT,Darnell Nurse,24,26,Leon Draisaitl,Zack Kassian,Braden Holtby,1,13:20,EV,,Rogers Place
32,2019-10-24,EDM,,WSH,W,OT,Leon Draisaitl,23,132,Connor McDavid,Zack Kassian,Braden Holtby,3,04:25,EV,,Rogers Place
33,2019-10-24,EDM,,WSH,W,OT,Connor McDavid,22,134,James Neal,Alex Chiasson,Braden Holtby,3,18:22,EV,,Rogers Place
34,2019-10-24,EDM,,WSH,W,OT,Leon Draisaitl,23,133,Connor McDavid,,Braden Holtby,OT,01:18,EV,,Rogers Place
35,2019-10-27,EDM,,FLA,L,,Leon Draisaitl,24,134,Ethan Bear,Connor McDavid,Sergei Bobrovsky,3,13:18,EV,,Rogers Place
36,2019-10-27,EDM,,FLA,L,,James Neal,32,280,Ryan Nugent-Hopkins,Leon Draisaitl,Sergei Bobrovsky,3,03:37,PP,,Rogers Place
37,2019-10-29,EDM,@,DET,L,,Leon Draisaitl,24,135,Connor McDavid,,Jimmy Howard,3,12:48,EV,,Little Caesars Arena
38,2019-10-30,EDM,@,CBJ,W,,Leon Draisaitl,24,136,Ryan Nugent-Hopkins,Alex Chiasson,Joonas Korpisalo,1,17:02,EV,,Nationwide Arena
39,2019-10-30,EDM,@,CBJ,W,,Jujhar Khaira,25,16,Ryan Nugent-Hopkins,Sam Gagner,Joonas Korpisalo,2,01:20,EV,,Nationwide Arena
40,2019-10-30,EDM,@,CBJ,W,,Leon Draisaitl,24,137,Zack Kassian,,Joonas Korpisalo,2,04:56,EV,,Nationwide Arena
41,2019-10-30,EDM,@,CBJ,W,,James Neal,32,281,Leon Draisaitl,Connor McDavid,Joonas Korpisalo,1,09:11,PP,,Nationwide Arena
42,2019-11-02,EDM,@,PIT,W,OT,Colby Cave,24,4,Matt Benning,Markus Granlund,Matt Murray,2,07:21,EV,,PPG Paints Arena
43,2019-11-02,EDM,@,PIT,W,OT,Leon Draisaitl,24,138,,,Matt Murray,OT,02:37,EV,,PPG Paints Arena
44,2019-11-04,EDM,,ARI,L,OT,Connor McDavid,22,135,Leon Draisaitl,,Darcy Kuemper,1,01:31,EV,,Rogers Place
45,2019-11-04,EDM,,ARI,L,OT,Gaetan Haas,27,1,Matt Benning,Kris Russell,Darcy Kuemper,3,15:19,EV,,Rogers Place
46,2019-11-06,EDM,,STL,L,,Zack Kassian,28,71,Leon Draisaitl,Connor McDavid,Jake Allen,3,11:02,EV,,Rogers Place
47,2019-11-06,EDM,,STL,L,,Connor McDavid,22,136,Leon Draisaitl,Mike Smith,Jake Allen,1,02:46,PP,,Rogers Place
48,2019-11-08,EDM,,NJD,W,,Leon Draisaitl,24,139,Ryan Nugent-Hopkins,Joel Persson,Cory Schneider,2,01:55,EV,,Rogers Place
49,2019-11-08,EDM,,NJD,W,,Gaetan Haas,27,2,Matt Benning,Kris Russell,Cory Schneider,2,15:45,EV,,Rogers Place
50,2019-11-08,EDM,,NJD,W,,James Neal,32,282,Alex Chiasson,Joel Persson,Cory Schneider,2,16:51,EV,,Rogers Place
51,2019-11-08,EDM,,NJD,W,,Alex Chiasson,29,82,Ryan Nugent-Hopkins,Connor McDavid,Cory Schneider,3,06:02,PP,,Rogers Place
52,2019-11-10,EDM,@,ANA,W,,Ryan Nugent-Hopkins,26,149,,,John Gibson,1,01:28,EV,,Honda Center
53,2019-11-10,EDM,@,ANA,W,,Connor McDavid,22,137,Leon Draisaitl,Zack Kassian,John Gibson,1,10:40,EV,,Honda Center
54,2019-11-10,EDM,@,ANA,W,,Zack Kassian,28,72,Patrick Russell,Ethan Bear,John Gibson,2,10:23,EV,,Honda Center
55,2019-11-10,EDM,@,ANA,W,,Connor McDavid,22,138,Zack Kassian,Leon Draisaitl,John Gibson,3,07:14,EV,,Honda Center
56,2019-11-10,EDM,@,ANA,W,,Ryan Nugent-Hopkins,26,150,Leon Draisaitl,Oscar Klefbom,John Gibson,2,07:45,PP,,Honda Center
57,2019-11-10,EDM,@,ANA,W,,Connor McDavid,22,139,Oscar Klefbom,Leon Draisaitl,John Gibson,3,13:25,PP,,Honda Center
58,2019-11-12,EDM,@,SJS,L,,Leon Draisaitl,24,140,Sam Gagner,Ethan Bear,Martin Jones,2,09:57,EV,,SAP Center at San Jose
59,2019-11-12,EDM,@,SJS,L,,Zack Kassian,28,73,Leon Draisaitl,Connor McDavid,Martin Jones,3,09:08,EV,,SAP Center at San Jose
60,2019-11-12,EDM,@,SJS,L,,Sam Gagner,30,159,Patrick Russell,Joakim Nygard,Martin Jones,3,12:18,EV,,SAP Center at San Jose
61,2019-11-14,EDM,,COL,W,,Ryan Nugent-Hopkins,26,151,Connor McDavid,Leon Draisaitl,Adam Werner,1,06:16,EV,,Rogers Place
